Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Henry, Jack",2021,24,217,150,119,7,2,10,43,17,8,95.0,64.9
"Higgins, Shaun",2021,18,157,80,177,4,12,0,49,11,13,70.0,70.5
"Blicavs, Mark",2021,24,164,94,166,5,0,283,67,32,23,88.5,68.8
"Henderson, Lachie",2021,21,230,146,92,3,2,0,26,20,19,99.5,66.6
"Duncan, Mitch",2021,13,200,98,115,8,2,0,33,16,5,73.3,100.5
"Close, Brad",2021,22,132,61,159,15,10,0,72,25,8,80.8,58.5
"Stanley, Rhys",2021,19,152,74,129,8,5,391,33,26,21,74.1,77.6
"Kolodjashnij, Jake",2021,22,165,120,104,1,0,0,27,7,15,84.2,51.8
"Dahlhaus, Luke",2021,21,103,41,150,7,15,0,79,18,19,72.1,50.8
"Miers, Gryan",2021,15,130,58,102,12,7,0,23,12,4,82.7,62.6
"Narkle, Quinton",2021,16,86,37,129,4,4,0,25,3,6,44.8,46.3
"Rohan, Gary",2021,21,147,75,67,32,18,0,41,22,14,81.6,55.0
"OConnor, Mark",2021,14,111,48,95,1,0,0,40,11,13,76.1,57.5
"Cameron, Jeremy",2021,15,118,57,57,39,16,0,16,17,13,82.5,62.1
"Guthrie, Zach",2021,13,120,51,40,0,1,0,32,7,4,64.8,55.2
"Holmes, Max",2021,12,54,24,64,1,7,0,32,3,4,50.2,41.2
"Ratugolea, Esava",2021,15,63,32,52,11,5,93,30,18,13,76.4,43.5
"Clark, Jordan",2021,11,61,26,52,3,2,0,22,2,7,50.6,41.3
"Simpson, Sam",2021,4,28,13,25,2,2,0,8,4,3,63.3,53.5
"Constable, Charlie",2021,3,21,13,16,1,0,0,3,1,1,36.7,50.0
"Kreuger, Nathan",2021,2,11,7,4,0,0,0,8,2,2,85.5,45.0
"De Koning, Sam",2021,1,7,3,1,0,2,1,0,0,2,81.0,29.0
"Evans, Francis",2021,2,8,4,0,2,1,0,1,0,0,48.0,26.5
"Miller, Touk",2021,21,334,95,334,8,8,1,149,35,26,84.9,122.1
"Swallow, David",2021,21,258,106,202,6,7,0,99,16,24,76.8,89.5
"Anderson, Noah",2021,20,264,83,189,0,6,0,60,11,19,76.3,81.0
"Lukosius, Jack",2021,22,382,172,60,3,11,0,32,13,20,84.8,86.0
"Ellis, Brandon",2021,18,273,130,150,5,2,0,47,11,17,82.4,93.8
"Bowes, Jack",2021,19,307,97,97,1,2,0,38,10,15,79.8,80.6
"Powell, Wil",2021,22,259,115,132,1,1,0,54,21,14,84.5,72.2
"Ballard, Charlie",2021,21,227,140,61,0,0,0,25,20,16,92.7,61.7
"Markov, Oleg",2021,17,193,107,90,1,4,0,38,6,5,75.3,72.5
"Lemmens, Sean",2021,21,196,76,72,0,0,0,44,12,31,82.3,50.2
"Greenwood, Hugh",2021,15,153,25,110,6,6,8,130,16,7,72.7,87.9
"Ainsworth, Ben",2021,17,187,90,74,12,18,0,35,14,14,77.2,69.5
"Weller, Lachie",2021,13,137,71,104,7,3,0,44,5,8,76.7,79.5
"Fiorini, Brayden",2021,10,133,52,101,2,2,0,47,7,6,66.0,94.8
"Collins, Sam",2021,19,152,119,78,0,0,0,32,18,20,94.1,55.5
"Sexton, Alex",2021,21,167,87,50,21,14,0,23,14,7,66.1,51.8
"Rankine, Izak",2021,18,120,51,92,16,11,0,46,16,28,82.6,51.1
"Holman, Nick",2021,16,111,67,94,10,5,0,72,15,15,74.6,65.3
"Flanders, Sam",2021,16,96,46,93,4,5,0,62,22,8,67.0,55.4
"King, Ben",2021,22,126,90,54,47,25,4,17,18,11,90.5,50.9
"Burgess, Chris",2021,19,112,67,62,10,10,177,42,16,12,79.4,55.6
"Rowell, Matt",2021,12,66,22,103,2,0,0,49,24,13,69.3,55.3
"Sharp, Jeremy",2021,9,113,53,52,2,3,0,7,6,4,78.3,71.0
"Macpherson, Darcy",2021,11,98,48,60,1,6,0,43,9,10,68.3,65.5
"Farrar, Jy",2021,10,90,56,55,0,0,0,14,1,5,81.1,59.0
"Corbett, Josh",2021,16,101,78,41,23,11,4,12,13,12,71.4,49.8
"Atkins, Rory",2021,8,47,16,41,2,2,0,9,0,3,68.1,39.0
"Graham, Caleb",2021,12,52,42,33,0,1,82,8,3,10,80.6,36.3
"Smith, Zac",2021,9,27,10,54,3,0,191,23,14,15,76.2,54.3
"Brodie, Will",2021,5,25,7,39,0,1,0,8,3,3,55.0,40.2
"Harbrow, Jarrod",2021,4,50,27,10,0,1,0,7,2,3,74.3,68.3
"Day, Sam",2021,6,26,23,27,3,4,23,17,4,5,74.0,50.5
"Witts, Jarrod",2021,3,24,9,17,0,1,87,8,6,1,70.7,85.3
"Budarick, Connor",2021,2,19,11,9,0,0,0,4,1,3,76.5,58.0
"Jeffrey, Joel",2021,4,19,6,6,2,4,0,4,1,2,68.8,28.5
"Townsend, Jacob",2021,2,15,8,9,3,0,3,5,2,6,76.0,56.0
"Rosas, Malcolm",2021,4,14,5,5,0,4,0,6,1,2,49.3,22.5
"Davies, Alex",2021,1,5,2,11,0,2,0,6,0,2,65.0,63.0
"Taranto, Tim",2021,24,372,118,265,13,13,0,128,26,23,82.3,106.7
"Hopper, Jacob",2021,23,311,72,296,10,7,0,88,29,39,80.1,90.1
"Kelly, Josh",2021,23,333,82,268,16,15,0,128,23,17,83.2,103.3
"Ward, Callan",2021,24,278,90,267,15,5,5,71,34,24,79.2,82.7
"Cumming, Isaac",2021,24,372,131,153,1,4,0,56,12,18,80.3,83.6
"Whitfield, Lachie",2021,17,283,107,142,3,1,0,41,15,11,81.9,95.2
"Perryman, Harry",2021,18,268,92,132,4,5,0,39,12,6,80.3,84.6
"Ash, Lachie",2021,23,265,111,127,1,1,0,63,6,10,75.6,70.3
"Haynes, Nick",2021,21,253,156,120,1,1,0,17,14,13,82.5,72.2
"Green, Tom",2021,18,139,55,221,7,6,1,53,19,15,70.9,69.9
"Greene, Toby",2021,18,232,78,77,45,41,2,39,33,29,90.4,83.3
"Himmelberg, Harry",2021,24,194,108,107,36,19,5,46,22,21,91.3,62.6
"Idun, Connor",2021,23,173,124,114,0,0,0,41,15,11,84.9,55.0
"Taylor, Sam",2021,19,164,116,109,0,0,0,39,22,8,93.7,63.8
"Lloyd, Daniel",2021,16,140,68,63,20,8,0,45,8,19,82.1,63.1
"OHalloran, Xavier",2021,17,124,42,56,5,3,0,22,10,8,67.0,42.2
"Daniels, Brent",2021,13,91,22,86,2,4,0,35,12,4,71.3,51.3
"Buckley, Jack",2021,15,112,68,57,0,2,1,34,7,17,81.7,49.9
"de Boer, Matt",2021,11,66,34,94,2,2,0,40,5,7,77.2,58.7
"Hill, Bobby",2021,17,113,33,41,14,12,0,48,10,4,72.0,47.4
"Flynn, Matt",2021,12,55,46,87,5,2,222,30,16,9,72.8,70.0
"Mumford, Shane",2021,14,44,19,98,4,0,364,68,27,26,77.9,71.0
"Finlayson, Jeremy",2021,13,106,40,35,23,9,24,15,14,11,76.8,55.4
"Kennedy, Adam",2021,9,72,35,59,1,1,0,20,5,5,82.4,57.3
"Reid, Sam",2021,15,64,25,58,4,4,0,35,7,15,78.3,34.2
"Hogan, Jesse",2021,9,74,57,41,20,9,0,11,6,7,83.4,70.3
"Davis, Phil",2021,11,64,47,47,0,0,0,16,10,14,77.2,41.7
"Coniglio, Stephen",2021,7,61,14,42,1,4,0,27,7,3,65.3,60.7
"Bruhn, Tanner",2021,13,56,16,45,4,4,0,33,8,5,56.3,35.3
"Sproule, Zach",2021,10,55,27,31,11,5,14,26,9,15,70.9,46.1
"Riccardi, Jake",2021,9,44,24,37,2,1,2,3,2,1,65.4,33.8
"Keeffe, Lachlan",2021,8,57,37,22,1,0,19,16,4,5,92.9,50.5
"Buntine, Matt",2021,8,55,21,23,1,1,0,17,6,9,72.1,41.0
"Briggs, Kieren",2021,5,23,9,26,2,0,85,22,8,6,65.6,64.6
"Peatling, James",2021,4,27,15,15,0,0,0,6,4,4,61.3,43.0
"Stein, Jake",2021,6,29,20,11,0,0,0,7,2,6,86.2,30.2
"Stone, Conor",2021,5,21,8,14,3,1,0,7,1,0,58.8,32.6
"Shipley, Nick",2021,4,8,6,6,0,0,0,2,0,1,22.0,14.8
