Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"Lewis, Mitch",434,2020,3.50,1.88,2.25,0.63,0.63,1.88,0.63,0.38,0.63,34.80
"Lewis, Mitch",434,2019,7.67,4.67,3.83,1.67,1.25,1.58,1.58,1.17,0.67,63.00
"Lewis, Mitch",434,2021,6.50,4.79,3.64,1.57,0.64,2.07,2.00,0.93,0.71,60.10
"Liberatore, Tom",435,2019,9.27,2.73,11.67,0.40,0.53,0.00,3.93,1.00,1.00,76.00
"Liberatore, Tom",435,2020,9.38,1.94,11.38,0.31,0.19,0.00,3.56,0.75,1.25,87.50
"Liberatore, Tom",435,2021,11.40,2.60,12.52,0.56,0.48,0.00,5.40,1.40,1.04,90.80
"Lienert, Jarrod",436,2019,15.14,6.14,5.86,0.00,0.29,0.00,1.57,0.43,0.71,80.40
"Lipinski, Patrick",438,2021,6.73,3.55,7.18,0.18,0.09,0.00,2.00,0.18,0.46,53.20
"Lipinski, Patrick",438,2020,6.92,2.46,9.31,0.39,0.31,0.00,2.31,0.46,0.54,71.80
"Lipinski, Patrick",438,2019,9.79,4.64,12.14,0.79,0.29,0.00,3.57,0.50,0.86,84.80
"Lloyd, Daniel",439,2020,6.17,3.17,4.08,0.58,0.00,0.00,2.33,0.33,0.75,58.90
"Lloyd, Daniel",439,2021,8.75,4.25,3.94,1.25,0.50,0.00,2.81,0.50,1.19,63.10
"Lloyd, Daniel",439,2019,7.22,2.89,5.44,0.89,0.44,0.00,2.44,0.28,0.67,55.10
"Lloyd, Jake",440,2020,16.71,4.77,9.12,0.06,0.00,0.00,2.18,0.65,0.29,114.30
"Lloyd, Jake",440,2021,18.36,5.64,9.55,0.05,0.05,0.00,1.82,0.64,0.82,96.90
"Lloyd, Jake",440,2019,19.59,6.23,11.18,0.14,0.18,0.00,1.68,0.59,0.36,107.00
"Lloyd, Sam",441,2020,5.22,2.89,3.33,0.78,0.56,0.00,2.22,0.89,0.44,55.80
"Lloyd, Sam",441,2019,10.87,5.17,4.52,1.65,1.35,0.00,2.35,0.61,0.70,76.30
"Lobb, Rory",442,2021,8.31,5.62,4.62,1.54,1.46,4.15,1.15,1.00,0.39,70.30
"Lobb, Rory",442,2019,7.93,4.07,5.20,0.87,0.73,21.27,1.60,1.40,0.67,79.40
"Lobb, Rory",442,2020,6.82,3.71,3.35,0.59,0.35,9.18,1.41,0.88,0.35,71.00
"Lockhart, Jay",444,2020,5.50,2.80,3.30,0.00,0.20,0.00,1.90,0.20,0.50,47.50
"Lockhart, Jay",444,2019,7.50,4.33,5.08,0.75,0.25,0.00,1.92,0.50,0.83,56.10
"Logue, Griffin",445,2019,6.60,4.50,5.40,0.00,0.00,0.00,1.90,0.50,0.70,50.10
"Logue, Griffin",445,2021,7.06,4.75,4.44,0.00,0.00,0.00,1.38,0.81,0.75,48.40
"Long, Ben",446,2021,6.27,3.47,3.27,0.13,0.60,0.00,2.33,0.67,1.07,43.90
"Long, Ben",446,2020,6.00,3.27,6.27,0.00,0.07,0.00,2.00,0.80,1.33,56.50
"Long, Ben",446,2019,6.31,3.69,3.19,0.88,0.56,0.00,2.88,0.81,0.56,52.80
"Lonie, Jack",448,2021,6.18,2.09,3.64,0.36,0.55,0.00,2.00,1.00,0.09,43.50
"Lonie, Jack",448,2020,7.31,3.39,2.77,0.92,0.54,0.00,2.15,0.77,0.39,64.90
"Lonie, Jack",448,2019,9.77,3.85,3.77,1.00,1.46,0.00,2.62,1.62,0.46,66.50
"Lukosius, Jack",449,2020,12.88,3.65,3.47,0.18,0.18,0.00,1.59,0.47,0.77,77.90
"Lukosius, Jack",449,2019,8.71,4.29,2.57,0.14,0.19,0.00,2.10,0.33,0.52,52.30
"Lukosius, Jack",449,2021,17.36,7.82,2.73,0.14,0.50,0.00,1.46,0.59,0.91,86.00
"Lycett, Scott",450,2020,5.07,1.27,5.93,0.13,0.20,23.47,2.60,1.67,0.80,81.30
"Lycett, Scott",450,2019,7.50,3.11,8.28,0.33,0.28,25.67,2.94,1.61,2.22,83.10
"Lycett, Scott",450,2021,7.00,2.80,7.70,0.30,0.30,26.00,3.85,1.35,1.90,84.00
"Lynch, Tom",452,2021,10.75,5.33,7.17,0.67,0.75,0.00,1.25,1.08,0.67,71.40
"Lynch, Tom",452,2020,11.08,4.08,6.00,0.46,0.39,0.00,1.00,0.54,0.46,79.70
"Lynch, Tom",452,2019,13.31,7.25,7.06,1.06,0.81,0.00,1.81,0.56,0.56,89.10
"Lynch, Tom",452,2021,7.22,4.83,3.83,1.94,1.83,1.33,1.56,0.94,1.33,61.80
"Lynch, Tom",452,2020,6.37,3.53,2.68,1.68,1.42,0.11,1.21,0.90,1.37,60.40
"Lynch, Tom",452,2019,7.92,5.04,2.88,2.52,1.24,0.08,1.48,1.44,1.28,64.60
"Lyons, Jarryd",453,2020,13.42,3.37,8.21,0.21,0.53,0.00,4.05,1.16,0.63,105.10
"Lyons, Jarryd",453,2021,16.46,4.96,11.63,0.42,0.29,0.00,6.42,1.58,0.46,116.20
"Lyons, Jarryd",453,2019,14.08,3.00,9.75,0.58,0.42,0.00,5.96,1.17,0.75,97.40
"Mackay, David",454,2020,7.30,2.50,8.20,0.20,0.20,0.00,1.60,0.30,0.70,64.80
"Mackay, David",454,2021,8.17,2.33,5.17,0.33,0.33,0.00,2.22,0.89,0.39,52.80
"Mackay, David",454,2019,10.28,3.17,6.94,0.17,0.06,0.00,2.78,0.50,0.39,65.70
"Macmillan, Jamie",455,2020,6.70,2.70,5.80,0.10,0.00,0.00,2.30,1.50,0.60,61.60
"Macmillan, Jamie",455,2019,12.06,4.89,8.39,0.00,0.00,0.00,2.17,1.00,0.78,74.90
"Macpherson, Darcy",456,2021,8.91,4.36,5.46,0.09,0.55,0.00,3.91,0.82,0.91,65.50
"Macpherson, Darcy",456,2020,6.67,2.17,4.83,0.33,0.00,0.00,2.75,0.92,0.67,60.10
"Macpherson, Darcy",456,2019,11.91,4.14,6.77,0.55,0.41,0.00,6.09,1.09,1.14,87.40
"Macrae, Finlay",457,2021,5.00,2.89,7.67,0.11,0.00,0.00,1.00,0.22,0.33,42.90
"Macrae, Jack",458,2020,11.44,2.78,14.94,0.17,0.17,0.39,3.94,1.61,0.56,112.30
"Macrae, Jack",458,2019,14.87,4.39,18.48,0.22,0.09,0.09,5.22,1.87,0.91,116.20
"Macrae, Jack",458,2021,16.73,3.92,17.12,0.23,0.15,0.04,4.92,1.69,1.00,116.20
"Madden, James",459,2021,5.44,2.78,5.56,0.11,0.00,0.00,1.78,0.89,0.22,43.80
"Madgen, Jack",460,2020,6.54,3.54,5.39,0.00,0.00,0.00,1.69,0.69,0.15,60.00
"Madgen, Jack",460,2021,8.37,4.63,7.63,0.05,0.11,0.00,1.00,0.53,0.32,58.30
"Mahony, Jack",462,2020,2.80,1.20,5.60,0.30,0.20,0.00,2.60,0.90,0.50,43.80
"Mahony, Jack",462,2021,6.11,2.79,5.47,0.47,0.21,0.00,3.21,0.74,0.68,52.20
"Mansell, Rhyan",463,2021,7.00,2.69,4.08,0.08,0.00,0.00,2.23,1.00,1.08,44.40
"Marchbank, Caleb",464,2019,9.15,5.00,4.08,0.00,0.00,0.00,2.08,0.69,1.00,56.60
"Markov, Oleg",465,2020,7.83,2.67,3.50,0.00,0.17,0.00,1.00,1.00,0.33,53.30
"Markov, Oleg",465,2021,11.35,6.29,5.29,0.06,0.24,0.00,2.24,0.35,0.29,72.50
"Marsh, Jonathon",466,2020,4.67,1.67,4.17,0.33,0.83,0.33,2.33,0.67,0.33,49.40
"Marshall, Rowan",467,2021,10.54,4.85,5.08,0.69,0.39,18.54,3.00,1.39,1.00,89.80
"Marshall, Rowan",467,2020,10.11,4.37,3.90,0.68,0.58,14.58,2.16,1.58,1.26,96.10
"Marshall, Rowan",467,2019,9.90,4.15,7.85,0.40,0.10,28.45,3.45,1.80,1.85,98.90
"Marshall, Todd",468,2019,6.80,3.50,2.60,1.00,0.40,0.10,2.30,1.30,0.40,51.90
"Marshall, Todd",468,2020,6.00,2.93,1.93,0.79,0.64,0.21,2.50,0.71,0.36,57.30
"Marshall, Todd",468,2021,7.57,4.05,2.62,1.14,0.57,0.24,1.29,0.86,0.38,52.60
"Martin, Dustin",469,2021,12.50,2.88,10.06,1.19,0.44,0.00,2.25,0.56,0.75,81.10
"Martin, Dustin",469,2020,12.55,2.60,8.10,1.10,0.55,0.05,2.30,0.65,1.10,94.30
"Martin, Dustin",469,2019,16.39,4.17,9.70,1.39,0.65,0.00,2.44,0.78,1.74,95.40
"Martin, Jack",470,2021,8.55,5.55,4.18,0.73,0.55,0.00,2.36,0.82,1.00,62.80
"Martin, Jack",470,2020,7.67,4.27,5.87,0.80,0.73,0.00,3.20,1.07,1.07,79.70
"Martin, Jack",470,2019,11.56,4.13,6.56,0.50,0.69,0.00,5.56,1.50,1.31,83.70
"Martin, Stefan",471,2020,4.63,1.00,2.63,0.13,0.13,17.13,2.38,1.00,1.13,59.10
"Martin, Stefan",471,2021,3.22,1.22,7.11,0.11,0.00,17.11,1.89,1.00,2.22,47.20
"Martin, Stefan",471,2019,9.42,2.50,7.00,0.21,0.29,26.92,2.46,2.04,1.38,86.00
"Masten, Chris",473,2019,9.88,5.47,6.71,0.18,0.06,0.00,1.77,0.41,0.53,66.50
"Matera, Brandon",474,2019,9.05,3.60,4.00,1.50,1.25,0.00,1.95,0.30,0.80,61.90
"Mathieson, Rhys",475,2019,7.67,2.56,7.56,0.44,0.33,0.00,3.11,0.67,1.78,56.60
"Mathieson, Rhys",475,2021,5.60,2.40,5.67,0.13,0.13,0.00,2.60,0.53,1.00,44.20
"May, Steven",476,2019,13.00,3.75,2.13,0.13,0.25,0.13,1.13,0.63,1.13,57.40
"May, Steven",476,2020,12.35,4.47,3.65,0.06,0.00,0.00,0.82,0.53,0.24,76.50
"May, Steven",476,2021,14.74,5.44,2.65,0.00,0.09,0.00,1.04,0.61,0.74,68.50
"Mayes, Sam",477,2020,8.33,3.33,5.33,0.17,0.33,0.00,2.83,0.83,0.50,72.10
"Mayes, Sam",477,2021,3.18,1.55,3.18,0.46,0.27,0.00,1.82,0.18,0.18,30.50
"Maynard, Brayden",478,2020,13.37,4.11,5.00,0.00,0.05,0.00,2.47,0.90,0.95,88.00
"Maynard, Brayden",478,2021,15.23,5.50,5.73,0.05,0.00,0.00,2.59,0.73,1.18,81.50
"Maynard, Brayden",478,2019,12.92,4.33,6.00,0.04,0.13,0.00,3.83,1.00,1.00,77.50
"Mayne, Chris",479,2020,6.36,3.57,8.29,0.00,0.14,0.00,2.71,0.57,0.57,70.30
"Mayne, Chris",479,2021,13.24,7.53,10.53,0.00,0.00,0.00,2.59,0.71,0.53,92.80
"Mayne, Chris",479,2019,10.43,5.52,8.71,0.19,0.10,0.00,2.67,0.71,0.43,76.60
"McAdam, Shane",480,2020,6.08,3.62,3.31,0.92,0.92,0.00,2.92,0.85,0.69,65.80
"McAdam, Shane",480,2021,5.27,3.73,3.20,1.67,0.73,0.00,2.27,0.93,1.40,49.90
"McAsey, Fischer",481,2020,3.50,2.10,2.90,0.00,0.20,0.00,1.20,0.40,0.20,34.30
"McCarthy, Cam",482,2019,7.83,4.08,3.50,1.58,0.58,0.00,1.25,0.75,0.75,56.30
"McCarthy, Lincoln",483,2020,5.24,2.35,4.47,0.88,0.88,0.00,3.12,0.82,0.65,61.50
"McCarthy, Lincoln",483,2021,7.63,3.21,5.13,1.50,0.63,0.00,3.33,1.13,1.17,63.30
"McCarthy, Lincoln",483,2019,7.46,2.92,5.63,0.83,0.54,0.00,3.92,0.58,1.33,60.20
"McCartin, Tom",484,2020,5.00,3.64,3.50,0.64,0.14,0.21,0.86,0.64,0.93,48.00
"McCartin, Tom",484,2019,6.68,4.16,3.37,0.58,0.53,0.00,1.47,0.95,0.53,48.50
"McCartin, Tom",484,2021,8.91,5.05,4.59,0.00,0.00,0.00,1.05,0.77,0.73,53.80
"McCluggage, Hugh",485,2020,11.53,3.68,7.16,0.42,1.11,0.00,2.74,0.68,0.32,92.80
"McCluggage, Hugh",485,2019,13.91,3.91,8.74,1.00,0.61,0.00,3.65,1.00,0.70,91.10
"McCluggage, Hugh",485,2021,16.96,5.13,8.04,0.63,0.92,0.00,3.71,0.96,0.96,99.90
"McCreery, Beau",486,2021,4.00,1.85,2.31,0.85,0.46,0.00,3.31,0.23,1.00,38.20
"McDonald, Logan",487,2021,5.43,3.14,3.00,1.29,0.71,0.00,0.86,1.14,0.43,43.40
"McDonald, Luke",488,2021,10.36,5.18,6.82,0.00,0.18,0.00,2.55,0.18,0.91,68.10
"McDonald, Luke",488,2019,7.77,3.92,7.15,0.08,0.00,0.00,2.54,0.54,0.77,58.20
"McDonald, Luke",488,2020,12.29,4.00,7.94,0.00,0.00,0.00,2.59,0.41,1.00,90.70
