Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Coffield, Nick",2021,16,159,89,69,1,1,0,25,18,10,78.8,61.1
"Coffield, Nick",2020,18,181,117,93,0,0,0,18,7,8,85,78.8
"Coffield, Nick",2019,8,80,46,39,0,0,0,9,2,6,76.8,59.5
"Cole, Tom",2021,22,203,105,98,0,0,0,44,14,24,83.5,56.3
"Cole, Tom",2020,15,95,48,62,3,0,0,30,14,7,82.7,57
"Cole, Tom",2019,14,107,67,53,0,0,0,47,13,13,84.3,56.4
"Coleman, Keidean",2021,18,89,44,73,6,5,0,32,16,11,57.9,38.7
"Coleman, Keidean",2020,5,25,9,17,2,1,0,23,3,9,78.2,54.3
"Coleman-Jones, Callum",2021,8,38,30,46,11,4,61,13,7,8,71.4,57.8
"Coleman-Jones, Callum",2019,1,6,3,7,0,1,10,5,0,2,63,66
"Collier-Dawkins, Riley",2021,9,58,21,74,3,0,0,32,5,9,66.8,56.6
"Collins, Sam",2021,19,152,119,78,0,0,0,32,18,20,94.1,55.5
"Collins, Sam",2020,17,107,74,68,0,0,0,27,18,6,97.6,57.9
"Collins, Sam",2019,9,65,43,44,0,0,0,12,8,10,96.7,48.7
"Colyer, Travis",2021,22,195,75,83,15,19,0,44,6,9,82.1,56.4
"Colyer, Travis",2020,9,54,16,26,3,2,0,9,0,3,71.7,42.9
"Colyer, Travis",2019,10,91,32,54,5,6,0,23,8,3,69.6,60.4
"Comben, Charlie",2021,1,3,2,3,1,0,0,1,0,1,83,28
"Conca, Reece",2021,10,68,35,67,0,0,0,18,5,10,72.2,49
"Conca, Reece",2020,14,140,48,59,0,0,0,38,9,13,84.3,71.8
"Conca, Reece",2019,22,282,68,165,2,3,0,78,18,28,75.5,74.6
"Coniglio, Stephen",2021,7,61,14,42,1,4,0,27,7,3,65.3,60.7
"Coniglio, Stephen",2020,16,196,44,141,5,8,0,62,17,19,87.4,97.5
"Coniglio, Stephen",2019,15,249,63,150,15,6,0,59,10,10,79.7,103.2
"Connolly, Leo",2021,7,56,22,27,1,1,0,4,1,3,68.3,43.3
"Constable, Charlie",2021,3,21,13,16,1,0,0,3,1,1,36.7,50
"Constable, Charlie",2020,2,13,4,22,0,1,0,8,2,2,58,77.5
"Constable, Charlie",2019,7,63,31,87,5,2,0,26,3,5,68.3,82.9
"Cook, Brayden",2021,3,22,6,20,0,0,0,3,0,1,65.3,44.3
"Corbett, Josh",2021,16,101,78,41,23,11,4,12,13,12,71.4,49.8
"Corbett, Josh",2020,7,45,31,17,3,6,0,7,8,7,79,53.8
"Corbett, Josh",2019,9,50,40,31,3,8,0,14,6,8,83.7,44
"Cordy, Zaine",2021,19,126,67,57,0,0,5,38,18,12,97.5,43.8
"Cordy, Zaine",2020,14,86,40,32,0,0,5,20,8,5,89.6,46.4
"Cordy, Zaine",2019,23,129,72,95,0,1,20,40,10,22,94.8,39.9
