Player,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,,,,
"Perryman, Harry",16,170,61,124,11,2,0,32,10,8,82.3,,,,700
"Haynes, Nick",17,208,121,64,0,0,0,23,13,7,88.9,,,,
"Taranto, Tim",11,132,30,80,4,3,0,45,11,12,83.7,,,,
"Shaw, Heath",17,162,78,47,3,1,0,38,7,16,87.9,,,,
"Greene, Toby",13,122,52,84,17,11,0,19,8,11,84.0,,,,
"Daniels, Brent",16,100,31,94,5,8,0,42,7,11,80.4,,,,
"Williams, Zac",11,136,38,50,2,2,0,25,7,7,74.9,,,,
"Corr, Aidan",15,143,59,37,0,1,0,22,4,6,80.5,,,,
"Cameron, Jeremy",17,121,67,55,24,13,0,24,15,25,90.0,,,,
"de Boer, Matt",13,58,20,95,2,0,0,46,21,20,81.8,,,,
"Himmelberg, Harry",16,96,43,57,15,4,14,27,14,15,86.0,,,,
"Ash, Lachie",12,79,31,57,1,0,0,22,5,5,80.9,,,,
"Finlayson, Jeremy",15,102,38,21,19,10,44,35,10,10,79.1,,,,
"Lloyd, Daniel",12,74,38,49,7,0,0,28,4,9,74.8,,,,
"Keeffe, Lachlan",13,66,47,50,0,0,0,11,4,6,91.1,,,,
"Caldwell, Jye",9,56,27,58,1,2,0,33,4,7,68.2,,,,
"Ward, Callan",7,56,16,48,3,1,1,11,7,4,73.3,,,,
"Green, Tom",6,31,15,60,1,3,0,14,2,3,66.3,,,,
"Davis, Phil",10,42,37,42,0,0,0,12,9,6,83.5,,,,
"Hately, Jackson",6,47,28,35,0,0,0,14,2,2,76.5,,,,
"Mumford, Shane",10,14,11,66,1,0,206,35,14,28,83.2,,,,
"Kennedy, Adam",6,36,11,32,0,0,0,12,4,3,72.2,,,,
"Jacobs, Sam",7,34,15,23,2,0,172,19,4,3,81.6,,,,
"Riccardi, Jake",5,37,30,15,9,6,1,2,1,2,87.4,,,,
"Langdon, Zac",7,24,8,27,2,6,0,23,7,7,75.6,,,,
"Hill, Bobby",5,28,10,15,4,5,0,11,3,4,64.4,,,,
"Cumming, Isaac",3,21,11,14,0,0,0,5,0,1,84.7,,,,
"Taylor, Sam",4,10,11,22,0,0,0,10,5,4,88.8,,,,
"Buckley, Jack",2,11,7,8,0,0,0,5,2,0,81.0,,,,
"OHalloran, Xavier",2,9,2,10,0,0,0,6,3,0,82.5,,,,
"Idun, Connor",2,9,5,8,0,0,0,1,2,1,83.5,,,,
"Reid, Sam",3,7,4,10,0,0,0,6,1,2,73.0,,,,
"Hutchesson, Tom",1,4,2,3,0,0,0,1,1,0,55.0,,,,
"Sheridan, Tom",1,4,3,2,0,0,0,1,0,1,77.0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Mitchell, Tom",17,172,52,257,2,1, ,75,20,18,88.3,,,,
"Worpel, James",15,167,39,120,2,7, ,81,11,18,81.1,,,,
"Shiels, Liam",16,162,46,124,6, , ,55,10,18,79.0,,,,
"Wingard, Chad",17,145,49,106,18,11, ,61,14,8,85.6,,,,
"OMeara, Jaeger",12,140,35,110,4,4, ,50,6,23,84.4,,,,
"Hardwick, Blake",16,139,45,67,1, , ,21,2,7,82.8,,,,
"Scrimshaw, Jack",13,121,51,82, , , ,23,7,7,76.0,,,,
"Sicily, James",11,146,62,50,2,1, ,9,12,7,91.8,,,,
"Scully, Tom",14,104,34,86,4,2, ,16,4,10,87.8,,,,
"Gunston, Jack",16,133,68,48,31,21, ,22,10,9,88.6,,,,
"Smith, Isaac",10,100,35,73,5,2, ,21,2,7,82.2,,,,
"Day, Will",11,100,48,72,1,1, ,15,10,3,82.7,,,,
"Frost, Sam",16,96,55,68, ,2, ,20,9,16,87.4,,,,
"Morrison, Harry",11,92,38,64, ,1, ,19,5,8,80.3,,,,
"Breust, Luke",13,77,24,64,16,6, ,51,14,13,80.8,,,,
"McEvoy, Ben",16,69,51,72,4,1,161,31,10,8,82.3,,,,
"Burgoyne, Shaun",13,77,26,62,11,2, ,32,3,13,78.2,,,,
"Ceglar, Jonathon",13,55,29,82,1, ,274,32,14,19,73.8,,,,
"Frawley, James",14,77,41,45, , , ,10,6,14,87.9,,,,
"Stratton, Ben",14,66,41,55,1, , ,17,7,13,91.6,,,,
"Cousins, James",6,60,20,57,1,3, ,16,5,7,77.7,,,,
"OBrien, Tim",16,82,47,34,12,3,34,28,13,12,82.0,,,,
"Henderson, Ricky",7,55,37,50, , , ,11,3,1,77.1,,,,
"Hanrahan, Oliver",7,44,10,31,3,4, ,7,5,4,71.4,,,,
"Puopolo, Paul",6,27,7,27,4,1, ,15,6,2,72.5,,,,
"Howe, Daniel",5,36,16,17,2, , ,5,3,1,80.2,,,,
