Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve
"Ellis, Corey",310,2016,11,8.82,3.00,6.45,0.09,0.27,0.00,3.00,0.55,0.00,61.7
"Ellis, Corey",310,2017,6,5.00,2.33,5.00,0.50,0.00,0.00,2.17,0.17,0.00,43.8
"Ellis, Corey",310,2018,4,3.75,2.25,7.75,0.00,0.25,0.00,2.75,0.25,0.50,43.5
"Ellis, Corey",310,2019,4,8.75,3.00,9.25,0.00,0.25,0.00,2.00,0.00,0.00,62.0
"Ellis, Xavier",311,2015,15,10.93,5.07,4.13,0.07,0.00,0.00,1.47,0.80,0.60,61.5
"Ellis, Xavier",311,2016,2,5.50,3.00,5.50,0.50,0.00,0.00,2.00,1.00,1.00,45.5
"Ellis-Yolmen, Cam",312,2015,11,8.27,2.09,7.73,0.27,0.45,1.18,4.82,0.82,0.64,68.0
"Ellis-Yolmen, Cam",312,2016,2,7.00,3.50,8.50,2.00,1.50,0.50,4.50,0.00,0.50,79.0
"Ellis-Yolmen, Cam",312,2018,15,8.93,3.07,11.20,0.40,0.20,0.13,5.47,0.53,0.67,81.5
"Ellis-Yolmen, Cam",312,2019,10,10.00,2.90,13.50,0.20,0.20,0.00,5.60,0.80,0.80,87.9
"Ellis-Yolmen, Cam",312,2020,9,6.67,2.40,6.40,0.40,0.27,0.00,2.80,0.67,0.80,52.1
"Elton, Todd",313,2015,1,2.00,2.00,3.00,0.00,0.00,0.00,1.00,0.00,2.00,16.0
"Elton, Todd",313,2016,2,4.50,4.50,6.00,0.50,0.50,1.50,0.50,0.00,0.50,44.5
"Elton, Todd",313,2017,6,4.33,3.00,4.00,0.17,0.83,3.50,1.67,0.67,0.50,41.2
"English, Tim",314,2017,2,0.50,1.00,6.50,0.00,0.00,5.50,3.00,0.00,0.00,35.0
"English, Tim",314,2018,7,7.00,4.71,6.00,0.14,0.29,13.86,1.57,2.14,1.00,67.6
"English, Tim",314,2019,20,6.75,4.05,6.45,0.40,0.50,19.10,3.40,1.15,1.20,78.5
"English, Tim",314,2020,18,8.60,5.13,7.53,0.53,0.73,19.13,2.60,1.20,1.20,87.3
"English, Tim",314,2021,22,7.45,4.68,5.73,0.86,0.68,15.50,2.86,1.27,1.09,78.7
"Enright, Corey",315,2015,21,14.33,7.05,8.71,0.00,0.05,0.00,2.86,0.43,0.76,91.2
"Enright, Corey",315,2016,23,14.00,5.65,9.57,0.17,0.09,0.04,2.87,0.52,1.09,88.0
"Evans, Billy",316,2015,5,3.40,1.80,8.00,0.20,0.40,0.00,2.80,0.60,0.40,43.8
"Evans, Billy",316,2016,2,3.00,2.00,7.00,0.00,0.00,0.00,4.00,1.00,0.50,44.5
"Evans, Francis",317,2021,2,4.00,2.00,0.00,1.00,0.50,0.00,0.50,0.00,0.00,26.5
"Everitt, Andrejs",318,2015,22,10.23,6.00,4.95,1.41,0.91,0.73,1.36,0.41,0.18,74.0
"Everitt, Andrejs",318,2016,13,7.62,5.15,6.23,1.31,0.62,0.46,1.31,0.54,0.31,64.5
"Fantasia, Orazio",319,2015,5,8.20,3.20,8.00,0.40,0.00,0.40,3.60,0.80,0.60,66.4
"Fantasia, Orazio",319,2016,19,7.68,3.95,7.16,1.53,1.32,0.05,3.79,0.79,0.84,73.2
"Fantasia, Orazio",319,2017,20,8.05,3.70,5.70,1.95,1.10,0.00,2.65,1.05,0.75,68.9
"Fantasia, Orazio",319,2018,13,8.38,4.15,7.08,1.54,1.23,0.00,4.92,0.92,1.15,79.4
"Fantasia, Orazio",319,2019,15,6.73,3.07,4.80,1.33,0.80,0.00,2.13,0.87,0.67,55.2
"Fantasia, Orazio",319,2020,5,6.48,3.60,5.28,0.24,0.00,0.00,1.44,0.48,0.48,47.0
