Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Crocker, Ben",159.00,2019,3.00,17.00,9.00,6.00,3.00,2.00,0.00,9.00,3.00,5.00,74.30,44.70,0.04,0.05,0.01,0.04,0.04,0.00,0.05,0.06,0.06,0.73,0.35
"Crouch, Brad",160.00,2021,20.00,248.00,56.00,279.00,7.00,5.00,0.00,109.00,23.00,24.00,77.80,95.20,0.48,0.31,0.63,0.11,0.12,0.00,0.59,0.43,0.52,0.75,0.78
"Crouch, Brad",160.00,2020,12.00,136.00,20.00,128.00,2.00,1.00,0.00,45.00,15.00,14.00,74.40,92.70,0.46,0.16,0.48,0.04,0.03,0.00,0.38,0.35,0.48,0.69,0.72
"Crouch, Brad",160.00,2019,22.00,338.00,65.00,327.00,11.00,12.00,1.00,111.00,23.00,14.00,78.60,107.60,0.71,0.35,0.72,0.14,0.24,0.00,0.66,0.43,0.18,0.78,0.87
"Crouch, Matt",161.00,2020,16.00,162.00,44.00,256.00,2.00,3.00,0.00,74.00,19.00,14.00,77.10,110.80,0.55,0.35,0.95,0.04,0.08,0.00,0.63,0.44,0.48,0.72,0.88
"Crouch, Matt",161.00,2019,19.00,270.00,77.00,350.00,7.00,4.00,0.00,65.00,15.00,15.00,75.40,106.20,0.57,0.41,0.77,0.09,0.08,0.00,0.38,0.28,0.19,0.74,0.85
"Crowden, Mitch",162.00,2021,16.00,70.00,34.00,97.00,5.00,7.00,0.00,29.00,8.00,4.00,67.60,40.90,0.13,0.19,0.22,0.08,0.17,0.00,0.16,0.15,0.09,0.63,0.32
"Crowden, Mitch",162.00,2020,10.00,50.00,15.00,34.00,6.00,1.00,0.00,47.00,4.00,10.00,77.70,57.80,0.17,0.12,0.13,0.12,0.03,0.00,0.40,0.09,0.34,0.73,0.42
"Crowden, Mitch",162.00,2019,5.00,27.00,8.00,33.00,3.00,2.00,0.00,24.00,3.00,3.00,72.00,56.20,0.06,0.04,0.07,0.04,0.04,0.00,0.14,0.06,0.04,0.70,0.44
"Crozier, Hayden",163.00,2021,10.00,111.00,59.00,48.00,0.00,0.00,0.00,14.00,6.00,4.00,76.10,65.60,0.21,0.33,0.11,0.00,0.00,0.00,0.08,0.11,0.09,0.73,0.53
"Crozier, Hayden",163.00,2020,15.00,154.00,59.00,55.00,2.00,2.00,0.00,40.00,15.00,11.00,80.70,75.40,0.52,0.47,0.20,0.04,0.06,0.00,0.34,0.35,0.38,0.77,0.57
"Crozier, Hayden",163.00,2019,22.00,257.00,136.00,108.00,0.00,0.00,0.00,44.00,23.00,10.00,83.10,71.10,0.54,0.72,0.24,0.00,0.00,0.00,0.26,0.43,0.13,0.83,0.57
"Cumming, Isaac",164.00,2021,24.00,372.00,131.00,153.00,1.00,4.00,0.00,56.00,12.00,18.00,80.30,83.60,0.72,0.72,0.34,0.02,0.10,0.00,0.30,0.22,0.39,0.78,0.68
"Cumming, Isaac",164.00,2020,3.00,21.00,11.00,14.00,0.00,0.00,0.00,5.00,0.00,1.00,84.70,58.80,0.07,0.09,0.05,0.00,0.00,0.00,0.04,0.00,0.03,0.82,0.42
"Cumming, Isaac",164.00,2019,5.00,35.00,15.00,25.00,0.00,0.00,0.00,13.00,3.00,2.00,72.20,49.80,0.07,0.08,0.06,0.00,0.00,0.00,0.08,0.06,0.03,0.71,0.39
"Cuningham, David",165.00,2021,4.00,26.00,9.00,28.00,3.00,2.00,0.00,6.00,2.00,3.00,60.80,49.50,0.05,0.05,0.06,0.05,0.05,0.00,0.03,0.04,0.07,0.55,0.39
"Cuningham, David",165.00,2020,12.00,72.00,32.00,66.00,6.00,6.00,0.00,33.00,5.00,6.00,75.80,63.00,0.24,0.26,0.25,0.12,0.17,0.00,0.28,0.12,0.21,0.71,0.46
"Cuningham, David",165.00,2019,9.00,65.00,28.00,79.00,7.00,5.00,0.00,32.00,3.00,6.00,75.80,66.30,0.14,0.15,0.17,0.09,0.10,0.00,0.19,0.06,0.08,0.75,0.53
"Cunningham, Harry",166.00,2021,21.00,229.00,108.00,113.00,0.00,0.00,0.00,55.00,13.00,14.00,85.40,68.00,0.44,0.60,0.25,0.00,0.00,0.00,0.30,0.24,0.30,0.84,0.55
"Cunningham, Harry",166.00,2020,17.00,157.00,59.00,96.00,0.00,1.00,0.00,38.00,10.00,5.00,84.60,72.60,0.53,0.47,0.36,0.00,0.03,0.00,0.32,0.23,0.17,0.82,0.54
"Cunningham, Harry",166.00,2019,9.00,121.00,52.00,63.00,0.00,1.00,0.00,25.00,4.00,8.00,80.70,80.70,0.26,0.28,0.14,0.00,0.02,0.00,0.15,0.08,0.10,0.80,0.65
"Cunnington, Ben",167.00,2021,15.00,203.00,62.00,199.00,9.00,8.00,0.00,74.00,30.00,31.00,82.50,99.20,0.39,0.34,0.45,0.15,0.20,0.00,0.40,0.56,0.67,0.80,0.81
