Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Betts, Eddie",52,2020,15.00,89.00,24.00,44.00,13.00,13.00,0.00,41.00,8.00,8.00,84.40,55.50
"Betts, Eddie",52,2019,21.00,155.00,49.00,96.00,37.00,21.00,0.00,52.00,13.00,12.00,84.60,58.70
"Bewley, Brett",53,2021,6.00,43.00,16.00,32.00,2.00,0.00,0.00,12.00,5.00,3.00,61.50,49.50
"Bewley, Brett",53,2020,12.00,100.00,40.00,74.00,5.00,0.00,0.00,21.00,6.00,1.00,83.80,71.40
"Bewley, Brett",53,2019,7.00,60.00,22.00,36.00,1.00,3.00,0.00,17.00,2.00,5.00,69.60,54.60
"Bews, Jed",54,2021,25.00,219.00,116.00,125.00,3.00,2.00,0.00,50.00,17.00,15.00,81.00,57.90
"Bews, Jed",54,2020,20.00,146.00,65.00,72.00,3.00,2.00,0.00,35.00,12.00,10.00,85.90,57.40
"Bews, Jed",54,2019,12.00,94.00,33.00,35.00,3.00,3.00,0.00,30.00,8.00,6.00,83.70,48.50
"Bianco, Trent",55,2021,12.00,100.00,53.00,47.00,7.00,5.00,0.00,21.00,5.00,4.00,68.30,56.40
"Billings, Jack",56,2021,18.00,218.00,113.00,143.00,14.00,14.00,0.00,35.00,14.00,10.00,84.30,83.40
"Billings, Jack",56,2020,19.00,205.00,78.00,147.00,11.00,6.00,0.00,47.00,13.00,6.00,86.10,92.00
"Billings, Jack",56,2019,22.00,316.00,132.00,250.00,13.00,10.00,0.00,65.00,11.00,12.00,88.60,98.50
"Birchall, Grant",57,2021,23.00,307.00,159.00,118.00,2.00,0.00,0.00,23.00,3.00,9.00,79.80,74.50
"Birchall, Grant",57,2020,16.00,150.00,69.00,53.00,0.00,0.00,0.00,16.00,6.00,4.00,72.40,64.10
"Birchall, Grant",57,2019,3.00,35.00,16.00,27.00,1.00,1.00,0.00,2.00,0.00,1.00,61.00,73.00
"Blakely, Connor",58,2021,13.00,50.00,30.00,66.00,1.00,2.00,0.00,11.00,8.00,5.00,35.90,32.10
"Blakely, Connor",58,2020,5.00,26.00,12.00,49.00,0.00,0.00,0.00,12.00,5.00,3.00,58.60,64.00
"Blakely, Connor",58,2019,14.00,156.00,72.00,121.00,0.00,0.00,0.00,32.00,14.00,7.00,84.00,74.80
"Blakey, Nick",59,2021,17.00,138.00,65.00,75.00,3.00,6.00,12.00,28.00,7.00,6.00,63.90,52.70
"Blakey, Nick",59,2020,16.00,126.00,36.00,36.00,8.00,13.00,0.00,36.00,15.00,8.00,76.00,58.90
"Blakey, Nick",59,2019,21.00,153.00,50.00,68.00,19.00,14.00,0.00,48.00,31.00,19.00,78.90,49.50
"Blicavs, Mark",60,2021,24.00,164.00,94.00,166.00,5.00,0.00,283.00,67.00,32.00,23.00,88.50,68.80
"Blicavs, Mark",60,2020,21.00,132.00,70.00,131.00,3.00,1.00,181.00,59.00,22.00,22.00,87.00,75.00
"Blicavs, Mark",60,2019,25.00,182.00,124.00,154.00,0.00,3.00,91.00,90.00,23.00,14.00,91.00,66.40
"Boak, Travis",61,2021,23.00,305.00,67.00,335.00,8.00,18.00,0.00,110.00,37.00,25.00,81.10,98.00
"Boak, Travis",61,2020,19.00,217.00,51.00,219.00,8.00,8.00,0.00,72.00,13.00,7.00,77.50,103.80
"Boak, Travis",61,2019,21.00,306.00,70.00,331.00,10.00,13.00,1.00,102.00,25.00,26.00,79.80,105.70
"Bolton, Shai",62,2021,20.00,208.00,82.00,185.00,23.00,20.00,0.00,55.00,13.00,26.00,81.40,77.70
"Bolton, Shai",62,2020,19.00,181.00,58.00,120.00,15.00,11.00,0.00,54.00,11.00,22.00,82.70,80.20
"Bolton, Shai",62,2019,19.00,143.00,58.00,123.00,15.00,12.00,0.00,65.00,9.00,22.00,79.90,60.70
"Bonar, Aiden",63,2021,10.00,72.00,36.00,35.00,0.00,0.00,0.00,16.00,4.00,8.00,72.60,43.80
"Bonar, Aiden",63,2020,6.00,24.00,10.00,29.00,0.00,0.00,0.00,11.00,4.00,3.00,70.20,41.50
"Bonar, Aiden",63,2019,2.00,11.00,5.00,8.00,0.00,0.00,0.00,5.00,0.00,0.00,63.50,42.00
"Bonner, Riley",64,2021,14.00,206.00,67.00,73.00,2.00,1.00,0.00,16.00,5.00,9.00,77.20,72.90
"Bonner, Riley",64,2020,9.00,97.00,33.00,25.00,0.00,0.00,0.00,7.00,1.00,8.00,79.10,61.80
"Bonner, Riley",64,2019,19.00,247.00,82.00,93.00,5.00,5.00,0.00,27.00,5.00,18.00,81.90,66.70
"Bontempelli, Marcus",65,2021,26.00,396.00,104.00,299.00,31.00,19.00,8.00,127.00,41.00,37.00,84.30,105.70
"Bontempelli, Marcus",65,2020,18.00,211.00,59.00,164.00,11.00,7.00,1.00,88.00,15.00,23.00,86.20,104.90
"Bontempelli, Marcus",65,2019,23.00,347.00,94.00,259.00,15.00,27.00,7.00,116.00,37.00,31.00,84.00,103.20
"Bosenavulagi, Atu",66,2021,8.00,46.00,28.00,35.00,1.00,0.00,0.00,13.00,4.00,5.00,60.40,42.40
"Bosenavulagi, Atu",66,2020,3.00,9.00,6.00,12.00,0.00,0.00,0.00,5.00,2.00,3.00,62.70,34.20
"Bowes, Jack",67,2021,19.00,307.00,97.00,97.00,1.00,2.00,0.00,38.00,10.00,15.00,79.80,80.60
"Bowes, Jack",67,2020,17.00,195.00,69.00,95.00,1.00,0.00,0.00,30.00,5.00,10.00,82.60,79.60
"Bowes, Jack",67,2019,15.00,139.00,53.00,137.00,6.00,3.00,0.00,55.00,10.00,15.00,74.80,71.60
"Bowey, Jake",68,2021,7.00,61.00,23.00,58.00,0.00,0.00,0.00,5.00,1.00,7.00,76.60,52.60
"Bramble, Lachlan",69,2021,10.00,119.00,44.00,64.00,1.00,3.00,0.00,20.00,7.00,3.00,83.60,70.40
"Brand, Kaiden",70,2021,3.00,22.00,10.00,16.00,0.00,0.00,0.00,6.00,4.00,2.00,78.30,50.00
"Brand, Kaiden",70,2020,2.00,10.00,7.00,8.00,0.00,0.00,0.00,3.00,2.00,0.00,87.00,50.60
"Brand, Kaiden",70,2019,5.00,34.00,20.00,22.00,0.00,0.00,0.00,6.00,1.00,4.00,91.40,43.80
"Brander, Jarrod",71,2021,11.00,108.00,53.00,60.00,5.00,6.00,0.00,11.00,5.00,3.00,80.00,61.70
"Brander, Jarrod",71,2020,8.00,67.00,36.00,22.00,0.00,1.00,0.00,12.00,3.00,2.00,80.50,62.30
